"Position","Nickname","Species","Nature","Gender","ESV","HP_Type","Ability","Move1","Move2","Move3","Move4","HeldItem","HP","ATK","DEF","SPA","SPD","SPE","MetLoc","EggLoc","Ball","OT","Version","OTLang","Legal","EC","PID","IV_HP","IV_ATK","IV_DEF","IV_SPA","IV_SPD","IV_SPE","EXP","Level","EV_HP","EV_ATK","EV_DEF","EV_SPA","EV_SPD","EV_SPE","Cool","Beauty","Cute","Smart","Tough","Sheen","NotOT","AbilityNum","GenderFlag","Form","PokerusStrain","PokerusDays","MetLevel","OriginalTrainerGender","FatefulEncounter","IsEgg","IsNicknamed","IsShiny","TID16","SID16","TSV","Move1_PP","Move2_PP","Move3_PP","Move4_PP","Move1_PPUp","Move2_PPUp","Move3_PPUp","Move4_PPUp","Relearn1","Relearn2","Relearn3","Relearn4","Checksum","Friendship","EggYear","EggMonth","EggDay","MetYear","MetMonth","MetDay"
"black2_random.sav @ [01] (BOX 1)-01: 0413 - Wormadam - 6D493318CD60.pk5","Wormadam","Wormadam","Brave","F","8143","Dragon","Anticipation","Tackle","Protect","Bug Bite","Hidden Power","(None)","62","36","44","43","53","21","Route 5","(None)","Great Ball","K","Black 2","English","False","3318CD60","3318CD60","9","6","1","11","1","11","13310","23","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","1","0","0","0","22","0","False","False","False","False","4694","49954","6702","35","10","20","15","0","0","0","0","(None)","(None)","(None)","(None)","27977","70","1","1","1","2024","12","25"
"black2_random.sav @ [01] (BOX 1)-03: 0361 - Snorunt - 439033CE35A6.pk5","Snorunt","Snorunt","Impish","M","0205","Psychic","Inner Focus","Bite","Icy Wind","Headbutt","Protect","(None)","62","32","38","31","34","36","Driftveil Drawbridge","(None)","Poké Ball","K","Black 2","English","False","33CE35A6","33CE35A6","19","14","25","25","23","30","15208","24","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","23","0","False","False","False","False","4694","49954","6702","25","15","15","10","0","0","0","0","(None)","(None)","(None)","(None)","17296","70","1","1","1","2024","12","25"
"black2_random.sav @ [01] (BOX 1)-04: 0140 - Kabuto - 050E1D9B28FC.pk5","Kabuto","Kabuto","Careful","M","1708","Rock","Battle Armor","Sand Attack","Absorb","Leer","Mud Shot","(None)","55","54","59","32","34","39","Relic Passage","(None)","Poké Ball","K","Black 2","English","False","1D9B28FC","1D9B28FC","2","16","13","3","6","14","21970","28","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","16","0","False","False","False","False","4694","49954","6702","15","25","30","15","0","0","0","0","(None)","(None)","(None)","(None)","1294","158","1","1","1","2024","12","25"
"black2_random.sav @ Party: 0: 0297 - Hariyama - 2C4BC1262AAF.pk5","Hariyama","Hariyama","Serious","M","7537","Ground","Thick Fat","Smelling Salts","Knock Off","Vital Throw","Fake Out","(None)","142","90","53","36","52","39","Castelia Sewers","(None)","Poké Ball","K","Black 2","English","False","C1262AAF","C1262AAF","1","10","21","14","20","1","38032","34","0","7","8","2","6","6","0","0","0","0","0","0","N/A","-1","0","0","0","0","15","0","False","False","False","False","4694","49954","6702","10","20","10","10","0","0","0","0","(None)","(None)","(None)","(None)","11339","196","1","1","1","2024","12","25"
"black2_random.sav @ Party: 1: 0517 - Munna - 6DF761F063BA.pk5","Munna","Munna","Serious","M","0073","Ghost","Forewarn","Zen Headbutt","Moonlight","Future Sight","Yawn","Eviolite","101","32","45","62","51","29","Floccesy Ranch","(None)","Poké Ball","K","Black 2","English","False","61F063BA","61F063BA","9","28","27","29","22","21","37238","35","1","2","3","5","2","4","0","0","0","0","0","0","N/A","-1","0","0","0","0","5","0","False","False","False","False","4694","49954","6702","15","5","10","10","0","0","0","0","(None)","(None)","(None)","(None)","28151","227","1","1","1","2024","12","25"
"black2_random.sav @ Party: 2: 0621 - Druddigon - EE0AD29F98DB.pk5","Druddigon","Druddigon","Bashful","M","2376","Psychic","Sheer Force","Crunch","Scary Face","Dragon Claw","Slash","(None)","98","92","69","51","74","42","Route 16","(None)","Poké Ball","K","Black 2","English","False","D29F98DB","D29F98DB","15","23","14","21","29","18","37238","33","0","6","2","0","4","1","0","0","0","0","0","0","N/A","-1","0","0","0","0","21","0","False","False","False","False","4694","49954","6702","15","10","15","20","0","0","0","0","(None)","(None)","(None)","(None)","60938","132","1","1","1","2024","12","25"
"black2_random.sav @ Party: 3: 0537 - Seismitoad - 6E02F08214A5.pk5","Seismitoad","Seismitoad","Lax","M","7300","Rock","Swift Swim","Bubble Beam","Muddy Water","Aqua Ring","Uproar","(None)","123","68","70","71","55","61","Lostlorn Forest","(None)","Great Ball","K","Black 2","English","False","F08214A5","F08214A5","13","10","20","19","14","14","37238","35","0","2","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","24","0","False","False","False","False","4694","49954","6702","20","10","20","10","0","0","0","0","(None)","(None)","(None)","(None)","28162","125","1","1","1","2024","12","25"
"black2_random.sav @ Party: 4: 0562 - Yamask - 2FB5BF6D67B7.pk5","Yamask","Yamask","Lonely","M","6939","Water","Mummy","Haze","Ominous Wind","Hex","Will-O-Wisp","(None)","74","28","58","41","49","31","Relic Castle","(None)","Poké Ball","K","Black 2","English","True","BF6D67B7","BF6D67B7","20","4","14","0","5","19","37238","33","0","0","0","2","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","21","0","False","False","False","False","4694","49954","6702","30","5","10","15","0","0","0","0","(None)","(None)","(None)","(None)","12213","154","1","1","1","2024","12","25"
"black2_random.sav @ Party: 5: 0611 - Fraxure - 35F7FF00007F.pk5","Fraxure","Fraxure","Hasty","M","8175","Fighting","Rivalry","Dual Chop","Dragon Claw","Slash","False Swipe","(None)","91","86","51","39","45","60","Driftveil City","(None)","Poké Ball","N","Black 2","English","False","FF00007F","FF00007F","30","30","30","30","30","30","37238","31","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","25","0","False","False","False","False","2","0","0","15","15","20","40","0","0","0","0","(None)","(None)","(None)","(None)","13815","255","1","1","1","2024","12","25"
